Node=48050 Seq=175 -18,9,251 29.64 62.93 93.52 1776553942318 
Node=48050 Seq=176 -16,8,251 29.7 62.93 93.46 1776553942556 
Node=48050 Seq=177 -18,6,252 29.7 62.93 93.65 1776553942797 
Node=48050 Seq=178 -16,33,257 29.7 62.9 93.52 1776553943046 
Node=48050 Seq=179 -12,20,248 29.64 62.9 93.58 1776553943290 
Node=48050 Seq=180 -13,20,250 29.7 62.9 93.52 1776553943529 
Node=48050 Seq=181 -14,16,249 29.7 62.9 93.52 1776553943772 
Node=48050 Seq=182 -14,14,250 29.7 62.9 93.52 1776553944011 
Node=48050 Seq=183 -14,14,250 29.7 62.9 93.52 1776553944259 
Node=48050 Seq=184 -14,14,250 29.7 62.9 93.77 1776553944498 
Node=48050 Seq=185 -13,13,250 29.7 62.9 93.52 1776553944743 
Node=48050 Seq=186 -15,12,251 29.64 62.9 93.52 1776553944983 
Node=48050 Seq=187 -12,15,250 29.7 62.87 93.52 1776553945234 
Node=48050 Seq=188 -12,14,250 29.76 62.87 93.71 1776553945471 
Node=48050 Seq=189 -14,13,251 29.76 62.87 93.46 1776553945710 
Node=48050 Seq=190 -15,13,250 29.7 62.87 93.52 1776553945950 
Node=48050 Seq=191 -15,14,250 29.7 62.87 93.65 1776553946193 
Node=48050 Seq=192 -13,13,251 29.76 62.9 93.65 1776553946433 
Node=48050 Seq=193 -14,14,250 29.7 62.9 93.52 1776553946677 
Node=48050 Seq=194 -14,13,250 29.76 62.87 93.65 1776553946916 
Node=48050 Seq=195 -14,13,249 29.7 62.87 93.77 1776553947155 
Node=48050 Seq=196 -15,13,251 29.7 62.87 93.52 1776553947410 
Node=48050 Seq=197 -15,14,251 29.76 62.87 93.65 1776553947649 
Node=48050 Seq=198 -16,14,250 29.76 62.87 93.52 1776553947889 
Node=48050 Seq=199 -13,14,250 29.7 62.87 93.46 1776553948133 
Node=48050 Seq=200 -15,14,251 29.76 62.87 93.52 1776553948376 
Node=48050 Seq=201 -14,13,250 29.7 62.87 93.52 1776553948626 
